Density of gas,Density of liquid,Viscosity of gas,Viscosity of liquid,Surface tension of liquid, Inner diameter,Packing height ,Particle diameter,Bed Porosity,Superficial Gas Velocity,Superficial Liquid  Velocity,Experimental Liquid Holdup
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00809,0.337,0.9737135321,0.005193580742,0.09194073483
9.39422,996.436,1.88E-05,8.99E-04,7.21E-02,0.021,0.03,0.002,0.43,0.0144,0.00009558627236,0.1309455587
9.39422,996.436,1.88E-05,8.99E-04,7.21E-02,0.021,0.03,0.002,0.43,0.0144,0.0001929260354,0.1429799427
9.39422,996.436,1.88E-05,8.99E-04,7.21E-02,0.021,0.03,0.002,0.43,0.0144,0.0002885121166,0.1614613181
9.39422,996.436,1.88E-05,8.99E-04,7.21E-02,0.021,0.03,0.002,0.43,0.0144,0.0003849759043,0.170487106
9.39422,996.436,1.88E-05,8.99E-04,7.21E-02,0.021,0.03,0.002,0.43,0.0144,0.0004437307689,0.1790830946
9.39422,996.436,1.88E-05,8.99E-04,7.21E-02,0.021,0.03,0.002,0.43,0.0213,0.00009470933408,0.1253581662
9.39422,996.436,1.88E-05,8.99E-04,7.21E-02,0.021,0.03,0.002,0.43,0.0213,0.0001929264213,0.1416905444
9.39422,996.436,1.88E-05,8.99E-04,7.21E-02,0.021,0.03,0.002,0.43,0.0213,0.0002885126936,0.1438395415
9.39422,996.436,1.88E-05,8.99E-04,7.21E-02,0.021,0.03,0.002,0.43,0.0213,0.0003858528426,0.1601719198
9.39422,996.436,1.88E-05,8.99E-04,7.21E-02,0.021,0.03,0.002,0.43,0.0213,0.0004419768924,0.1722063037
9.39422,996.436,1.88E-05,8.99E-04,7.21E-02,0.021,0.03,0.002,0.43,0.0282,0.00009558627236,0.1137535817
9.39422,996.436,1.88E-05,8.99E-04,7.21E-02,0.021,0.03,0.002,0.43,0.0282,0.0001929264213,0.1326647564
9.39422,996.436,1.88E-05,8.99E-04,7.21E-02,0.021,0.03,0.002,0.43,0.0282,0.0002885126936,0.132234957
9.39422,996.436,1.88E-05,8.99E-04,7.21E-02,0.021,0.03,0.002,0.43,0.0282,0.0003858528426,0.1520057307
9.39422,996.436,1.88E-05,8.99E-04,7.21E-02,0.021,0.03,0.002,0.43,0.0282,0.0004419768924,0.1520057307
9.39422,996.436,1.88E-05,8.99E-04,7.21E-02,0.021,0.03,0.002,0.55,0.0282,0.00009470933408,0.1550143266
9.39422,996.436,1.88E-05,8.99E-04,7.21E-02,0.021,0.03,0.002,0.55,0.0282,0.0001946802978,0.1812320917
9.39422,996.436,1.88E-05,8.99E-04,7.21E-02,0.021,0.03,0.002,0.55,0.0282,0.0002876357554,0.1967048711
9.39422,996.436,1.88E-05,8.99E-04,7.21E-02,0.021,0.03,0.002,0.55,0.0282,0.0003858528426,0.2095988539
