Density of gas,Density of liquid,Viscosity of gas,Viscosity of liquid,Surface tension of liquid, Inner diameter,Packing height ,Particle diameter,Bed Porosity,Superficial Gas Velocity ,Superficial Liquid Velocity ,Liquid Holdup 
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.07414491063,0.002447342026,0.1721052632
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.08735291091,0.002447342026,0.1710526316
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.09875982023,0.002447342026,0.1673684211
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.107765275,0.002447342026,0.1636842105
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.01428913322,0.006138415246,0.2090265487
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.020201878,0.006138415246,0.2019469027
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.02636098715,0.006138415246,0.1998230088
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.03794011234,0.006138415246,0.1920353982
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.04951923754,0.006138415246,0.1899115044
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.06159109146,0.006138415246,0.1838938053
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.07415567412,0.006138415246,0.1824778761
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.08721298551,0.006138415246,0.1771681416
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.09854574634,0.006138415246,0.1715044248
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.1076612279,0.006138415246,0.1672566372
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.01428913322,0.004904714142,0.1934513274
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.020201878,0.004904714142,0.1899115044
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.02636098715,0.004904714142,0.1874336283
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.03769374798,0.004904714142,0.1807079646
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.04951923754,0.004904714142,0.1785840708
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.0613447271,0.004904714142,0.1753982301
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.07415567412,0.004904714142,0.1715044248
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.08721298551,0.004904714142,0.1679646018
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.09879211071,0.004904714142,0.1633628319
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.1076612279,0.004904714142,0.162300885
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.01404276885,0.003681043129,0.1753982301
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.020201878,0.003681043129,0.1715044248
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.02611462278,0.003681043129,0.1697345133
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.03769374798,0.003681043129,0.1679646018
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.04951923754,0.003681043129,0.1665486726
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.0613447271,0.003681043129,0.1637168142
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.07390930976,0.003681043129,0.1573451327
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.08721298551,0.003681043129,0.1559292035
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.09879211071,0.003681043129,0.1502654867
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.1076612279,0.003681043129,0.1481415929
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.01428913322,0.002447342026,0.162300885
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.020201878,0.002447342026,0.1552212389
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.02636098715,0.002447342026,0.1523893805
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.03794011234,0.002447342026,0.1513274336
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.04951923754,0.002447342026,0.150619469
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.0613447271,0.002447342026,0.1467256637
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.07415567412,0.002447342026,0.1417699115
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.08721298551,0.002447342026,0.1410619469
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.09879211071,0.002447342026,0.1389380531
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.1079075922,0.002447342026,0.1339823009
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.01995551363,0.001223671013,0.1428318584
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.02636098715,0.001223671013,0.1385840708
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.03769374798,0.001223671013,0.1361061947
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.04951923754,0.001223671013,0.1368141593
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.0613447271,0.001223671013,0.1325663717
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.07415567412,0.001223671013,0.1315044248
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.08696662115,0.001223671013,0.1276106195
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.09854574634,0.001223671013,0.1261946903
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.001,0.41,0.1076612279,0.001223671013,0.1226548673
1.184,997,0.0000182,0.001,7.08E-02,0.1016,2.080657028,0.00368,0.41,0.1420204172,0.001801812623,0.09090909091
1.184,997,0.0000182,0.001,7.08E-02,0.1016,2.080657028,0.00368,0.41,0.1420204172,0.00612616292,0.1515151515
1.184,997,0.0000182,0.001,7.08E-02,0.1016,2.080657028,0.00368,0.41,0.1420204172,0.01027033195,0.1939393939
1.184,997,0.0000182,0.001,7.08E-02,0.1016,2.080657028,0.00368,0.41,0.1420204172,0.01234241647,0.2181818182
1.184,997,0.0000182,0.001,7.08E-02,0.1016,2.080657028,0.00368,0.41,0.1420204172,0.01454963693,0.2272727273
1.184,1001.3,0.0000182,0.003,5.58E-02,0.1016,2.080657028,0.00368,0.41,0.1420204172,0.001166148677,0.1045454545
